SPECIES,SCIENTIFIC_NAME,TAXONNAME,OLDTAXONNAME,RANK,GENUS,FAMILY,COMMONNAME,COMMONFAMILY,COMMONFAMILYALL,CRYPTIC,LMAX,LW_A,LW_B,LENGTH_CONVERSION_FACTOR,LENTYP,SLTLRAT,FLTLRAT,TROPHIC,TROPHIC_DEF,TROPHIC_MONREP,SOURCE
PSOL,Pseudanthias olivaceus,Pseudanthias olivaceus,NA,Species,Pseudanthias,Serranidae,Olive Anthias,Anthias,Anthias,NA,12,0.0177,2.9969,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB mean for genus
PSPR,Pseudanthias parvirostris,Pseudanthias parvirostris,NA,Species,Pseudanthias,Serranidae,Sunset Anthias,Anthias,Anthias,NA,8,0.00959,3,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Psuedanthias pascalus
PSPA,Pseudanthias pascalus,Pseudanthias pascalus,NA,Species,Pseudanthias,Serranidae,Amethyst Anthias,Anthias,Anthias,NA,17,0.00959,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
PSPL,Pseudanthias pleurotaenia,Pseudanthias pleurotaenia,NA,Species,Pseudanthias,Serranidae,Square-Spot Fairy Basslet,Anthias,Anthias,NA,20,0.0155,3.121,0.86,FL,0.85,0.86,Pk,Planktivore,PLANKTIVORE,Kulbicki Apogon mean
PSRA,Pseudanthias randalli,Pseudanthias randalli,NA,Species,Pseudanthias,Serranidae,Randall's Fairy Basslet,Anthias,Anthias,NA,10,0.0096,3,0.8525149,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Psuedanthias pascalus
PSSM,Pseudanthias smithvanizi,Pseudanthias smithvanizi,NA,Species,Pseudanthias,Serranidae,Princess Anthias ,Anthias,Anthias,NA,10,0.0096,3,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Psuedanthias pascalus
PSSQ,Pseudanthias squamipinnis,Pseudanthias squamipinnis,NA,Species,Pseudanthias,Serranidae,Scalefin Anthias,Anthias,Anthias,NA,15,0.0569,2.65,0.799,SL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB
PSTH,Pseudanthias thompsoni,Pseudanthias thompsoni,NA,Species,Pseudanthias,Serranidae,Hawaiian Anthias,Anthias,Anthias,NA,22,0.0155,3.121,0.85,FL,0.83,0.85,Pk,Planktivore,PLANKTIVORE,Kulbicki Apogon mean
PSTU,Pseudanthias tuka,Pseudanthias tuka,NA,Species,Pseudanthias,Serranidae,Yellowstriped Fairy Basslet,Anthias,Anthias,NA,12,0.0096,3,0.8071025,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB for Psuedanthias pascalus
PSFL,Pseudobalistes flavimarginatus,Pseudobalistes flavimarginatus,NA,Species,Pseudobalistes,Balistidae,Yellowmargin Triggerfish,Triggerfish,Triggerfish,NA,60,0.1297,2.6061,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,NA
PSFU,Pseudobalistes fuscus,Pseudobalistes fuscus,NA,Species,Pseudobalistes,Balistidae,Yellow-Spotted Triggerfish,Triggerfish,Triggerfish,NA,58,0.07255,2.76028,0.94,FL,0.94,0.94,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
PSDE,Pseudocaranx dentex,Pseudocaranx dentex,NA,Species,Pseudocaranx,Carangidae,White Trevally,Jack,Jack,NA,122,0.0271,2.88598,0.9,FL,0.87,0.9,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
PSEV,Pseudocheilinus evanidus,Pseudocheilinus evanidus,NA,Species,Pseudocheilinus,Labridae,Striated Wrasse,Wrasse,Wrasse,NA,14,0.0049,3.51,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
PSHE,Pseudocheilinus hexataenia,Pseudocheilinus hexataenia,NA,Species,Pseudocheilinus,Labridae,Sixline Wrasse,Wrasse,Wrasse,NA,8,0.0167,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
PSOT,Pseudocheilinus ocellatus,Pseudocheilinus ocellatus,NA,Species,Pseudocheilinus,Labridae,Whitebarred Wrasse,Wrasse,Wrasse,NA,10.3,0.0107,3.178,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
PSOC,Pseudocheilinus octotaenia,Pseudocheilinus octotaenia,NA,Species,Pseudocheilinus,Labridae,Eight-Lined Wrasse,Wrasse,Wrasse,NA,14,0.0138,3.1563,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for genus
PSTE,Pseudocheilinus tetrataenia,Pseudocheilinus tetrataenia,NA,Species,Pseudocheilinus,Labridae,Four-Lined Wrasse,Wrasse,Wrasse,NA,8,0.0138,3.1563,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for genus
PSJA,Pseudochromis jamesi,Pseudochromis jamesi,NA,Species,Pseudochromis,Pseudochromidae,Spot-Tailed Dottyback,Rare_Families,Dottyback,Y,5.5,0.0096,3.167,1,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki 2005 Pseudochromis spp.
DOTT,Pseudochromis sp.,Pseudochromis sp,NA,Genus,Pseudochromis,Pseudochromidae,Dottyback sp.,Rare_Families,Dottyback,Y,8.1,0.00956,3.16714,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
PSAU,Pseudocoris aurantiofasciata,Pseudocoris aurantiofasciata,NA,Species,Pseudocoris,Labridae,Rust-Banded Wrasse,Wrasse,Wrasse,NA,20,0.0107,3.178,0.97,FL,0.93,0.97,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
PSBL,Pseudocoris bleekeri,Pseudocoris bleekeri,NA,Species,Pseudocoris,Labridae,Yellow-Band Wrasse,Wrasse,Wrasse,NA,15,0.0275,2.736,1,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Halichoeres trimaculatus
PSHT,Pseudocoris heteroptera,Pseudocoris heteroptera,NA,Species,Pseudocoris,Labridae,Torpedo Wrasse,Wrasse,Wrasse,NA,20,0.0107,3.178,0.99,FL,0.98,0.99,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
PSYA,Pseudocoris yamashiroi,Pseudocoris yamashiroi,NA,Species,Pseudocoris,Labridae,Redspot Wrasse,Wrasse,Wrasse,NA,16,0.0107,3.178,0.99,FL,0.98,0.99,Pk,Planktivore,PLANKTIVORE,Kulbicki Labridae mean
PSMO,Pseudodax moluccanus,Pseudodax moluccanus,NA,Species,Pseudodax,Labridae,Chiseltooth Wrasse,Wrasse,Wrasse,NA,26,0.014,3.0097,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for family
PSPO,Pseudogramma polyacantha,Pseudogramma polyacantha,NA,Species,Pseudogramma,Serranidae,Honeycomb Podge,Anthias,Anthias,NA,9,0.01554,3,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB
PSAT,Pseudojuloides atavai,Pseudojuloides atavai,NA,Species,Pseudojuloides,Labridae,Polynesian Wrasse,Wrasse,Wrasse,NA,13,0.0107,3.178,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
PSCE,Pseudojuloides cerasinus,Pseudojuloides cerasinus,NA,Species,Pseudojuloides,Labridae,Smalltail Wrasse,Wrasse,Wrasse,NA,12,0.0107,3.178,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
PSKA,Pseudojuloides kaleidos,Pseudojuloides kaleidos,NA,Species,Pseudojuloides,Labridae,Blue-Nose Wrasse,Wrasse,Wrasse,NA,10,0.00761,3.105,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,FB for Labroides dimidiatus 
PSME,Pseudojuloides mesostigma,Pseudojuloides mesostigma,NA,Species,Pseudojuloides,Labridae,Sidespot Wrasse,Wrasse,Wrasse,NA,7,0.00761,3.105,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,FB for Labroides dimidiatus 
PSPY,Pseudojuloides polynesica,Pseudojuloides polynesica,P. cerasinus,Species,Pseudojuloides,Labridae,Polynesian Pencil Wrasse,Wrasse,Wrasse,NA,12,0.01,3.06,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,NA
PSSP,Pseudojuloides sp.,Pseudojuloides sp,NA,Genus,Pseudojuloides,Labridae,Pseudojuloides sp.,Wrasse,Wrasse,NA,14.5,0.0107,3.178,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Labridae mean
PSSL,Pseudojuloides splendens,Pseudojuloides splendens,P. cerasinus,Species,Pseudojuloides,Labridae,Splendid Pencil Wrasse,Wrasse,Wrasse,NA,9,0.01,3.06,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,NA
PSMA,Psilogobius mainlandi,Psilogobius mainlandi,NA,Species,Psilogobius,Gobiidae,Mainland's Goby,Rare_Families,Goby,Y,3.7,0.0264,2.623,1,FL,NA,1,SI,Sessile invertivore,SECONDARY,Kulbicki Gobiidae mean
PTCR,Pteragogus cryptus,Pteragogus cryptus,NA,Species,Pteragogus,Labridae,Cryptic Wrasse,Wrasse,Wrasse,NA,9.5,0.0138,3.018,1,?,NA,NA,MI,Mobile invertivore,SECONDARY,FB mean for family
PTEN,Pteragogus enneacanthus,Pteragogus enneacanthus,NA,Species,Pteragogus,Labridae,Cockerel Wrasse,Wrasse,Wrasse,NA,15,0.0138,3.018,1,?,NA,NA,MI,Mobile invertivore,SECONDARY,FB mean for family
PTEV,Ptereleotris evides,Ptereleotris evides,NA,Species,Ptereleotris,Ptereleotridae,Blackfin Dartfish,Rare_Families,Dartfish,Y,18,0.0091,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for elongated fish
PTGR,Ptereleotris grammica,Ptereleotris grammica,NA,Species,Ptereleotris,Ptereleotridae,Lined Dartfish,Rare_Families,Dartfish,Y,10,0.0091,3,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB value for elongated fish
PTHA,Ptereleotris hanae,Ptereleotris hanae,NA,Species,Ptereleotris,Ptereleotridae,Blue Hana Goby,Rare_Families,Dartfish,Y,9,0.0091,3,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB value for elongated fish
PTHE,Ptereleotris heteroptera,Ptereleotris heteroptera,NA,Species,Ptereleotris,Ptereleotridae,Blacktail Goby,Rare_Families,Dartfish,Y,12,0.0091,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for elongated fish
PTMI,Ptereleotris microlepis,Ptereleotris microlepis,NA,Species,Ptereleotris,Ptereleotridae,Blue Gudgeon,Rare_Families,Dartfish,Y,13,0.0059,3.231,0.98,FL,NA,0.98,Pk,Planktivore,PLANKTIVORE,Kulbicki Labroides dimidiatus
PTRU,Ptereleotris rubristigma,Ptereleotris rubristigma,NA,Species,Ptereleotris,Ptereleotridae,Redspot Dartfish,Rare_Families,Dartfish,Y,999,0.0091,3,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB value for elongated fish
PTZE,Ptereleotris zebra,Ptereleotris zebra,NA,Species,Ptereleotris,Ptereleotridae,Chinese Zebra Goby,Rare_Families,Dartfish,Y,12,0.0091,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for elongated fish
PTLA,Pterocaesio lativittata,Pterocaesio lativittata,NA,Species,Pterocaesio,Caesionidae,Wide-Band Fusilier,Fusilier,Fusilier,NA,30,0.0112,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,NA
PTMA,Pterocaesio marri,Pterocaesio marri,NA,Species,Pterocaesio,Caesionidae,Marr's Fusilier,Fusilier,Fusilier,NA,35,0.0101,3.152,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB mean for genus
PTPI,Pterocaesio pisang,Pterocaesio pisang,NA,Species,Pterocaesio,Caesionidae,Banana Fusilier,Fusilier,Fusilier,NA,21,0.00743,3.15,1,TL,NA,NA,Pk,Planktivore,PLANKTIVORE,FB
PTRA,Pterocaesio randalli,Pterocaesio randalli,NA,Species,Pterocaesio,Caesionidae,Randall's Fusilier,Fusilier,Fusilier,NA,25,0.0092,3.234,0.877193,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Pterocaesio sp.
PTTI,Pterocaesio tile,Pterocaesio tile,NA,Species,Pterocaesio,Caesionidae,Dark-Banded Fusilier,Fusilier,Fusilier,NA,30,0.0112,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
PTTR,Pterocaesio trilineata,Pterocaesio trilineata,NA,Species,Pterocaesio,Caesionidae,Three-Stripe Fusilier,Fusilier,Fusilier,NA,20,0.01065,3.17784,0.87,FL,NA,0.87,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
PTAN,Pterois antennata,Pterois antennata,NA,Species,Pterois,Scorpaenidae,Broadbarred Firefish,Rare_Families,Scorpionfish,Y,20,0.0189,3.011,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for family
PTPP,Pterois sp.,Pterois sp,NA,Genus,Pterois,Scorpaenidae,Pterois sp.,Rare_Families,Scorpionfish,Y,31,0.03581,2.69659,1,FL,NA,1,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
PTSP,Pterois sphex,Pterois sphex,NA,Species,Pterois,Scorpaenidae,Hawaiian Turkeyfish,Rare_Families,Scorpionfish,Y,22,0.0246,2.908,1,FL,NA,1,Pisc,Piscivore,PISCIVORE,Kulbicki Scorpaenidae mean
PTVO,Pterois volitans,Pterois volitans,NA,Species,Pterois,Scorpaenidae,Red Lionfish,Rare_Families,Scorpionfish,Y,38,0.0189,3.011,1,TL,1,NA,Pisc,Piscivore,PISCIVORE,FB mean for family
PYDI,Pygoplites diacanthus,Pygoplites diacanthus,NA,Species,Pygoplites,Pomacanthidae,Royal Angelfish,Rare_Families,Angelfish,NA,25,0.0276,3,1,TL,1,NA,SI,Sessile invertivore,SECONDARY,FB
RAKA,Rastrelliger kanagurta,Rastrelliger kanagurta,NA,Species,Rastrelliger,Scombridae,Long-jawed mackerel,Rare_Families,Mackerel,NA,42,0.0063,3.13,1,,,,Pk,Planktivore,PLANKTIVORE,
RHGR,Rhabdamia gracilis,Rhabdamia gracilis,NA,Species,Rhabdamia,Apogonidae,Luminous Cardinalfish,Rare_Families,Cardinalfish,NA,6,0.0049,3.78,0.9358017,FL,0.771,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Apogon angustatus
RHAC,Rhinecanthus aculeatus,Rhinecanthus aculeatus,NA,Species,Rhinecanthus,Balistidae,Blackbar Triggerfish,Triggerfish,Triggerfish,NA,30,0.0522,2.641,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
RHLU,Rhinecanthus lunula,Rhinecanthus lunula,NA,Species,Rhinecanthus,Balistidae,Halfmoon Picassofish,Triggerfish,Triggerfish,NA,28,0.0321,2.87,1,?,NA,NA,MI,Mobile invertivore,SECONDARY,FB mean for genus
RHRE,Rhinecanthus rectangulus,Rhinecanthus rectangulus,NA,Species,Rhinecanthus,Balistidae,Wedge-Tail Triggerfish,Triggerfish,Triggerfish,NA,25,0.0522,2.641,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for RHAC
RHVE,Rhinecanthus verrucosus,Rhinecanthus verrucosus,NA,Species,Rhinecanthus,Balistidae,Blackbelly Triggerfish,Triggerfish,Triggerfish,NA,23,0.0522,2.641,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,FB value for Rhinecanthus aculeatus
RHDJ,Rhynchobatus djiddensis,Rhynchobatus djiddensis,NA,Species,Rhynchobatus,Rhinobatidae,Whitespotted Guitarfish,Rare_Families,Guitarfish,Y,300,0.0038,3.06,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,NA
SAOR,Sarda orientalis,Sarda orientalis,NA,Species,Sarda,Scombridae,Striped Bonito,Tuna,Tuna,NA,102,0.0217,2.97,0.906,FL,NA,0.91,Pisc,Piscivore,PISCIVORE,FB
SACA,Sargocentron caudimaculatum,Sargocentron caudimaculatum,NA,Species,Sargocentron,Holocentridae,Silverspot Squirrelfish,Soldierfish,Soldierfish,NA,25,0.0232,2.9554,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for genus
SADI,Sargocentron diadema,Sargocentron diadema,NA,Species,Sargocentron,Holocentridae,Crown Squirrelfish,Soldierfish,Soldierfish,NA,17,0.02505,2.95522,0.92,FL,NA,0.92,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
SAEN,Sargocentron ensifer,Sargocentron ensifer,NA,Species,Sargocentron,Holocentridae,Yellow-Stripedsquirrelfish,Soldierfish,Soldierfish,NA,25,0.0219,3.047,0.91,FL,NA,0.91,MI,Mobile invertivore,SECONDARY,Kulbicki Sargocentron mean
SAMI,Sargocentron microstoma,Sargocentron microstoma,NA,Species,Sargocentron,Holocentridae,Smallmouth Squirrelfish,Soldierfish,Soldierfish,NA,20,0.0219,3.047,0.94,FL,NA,0.94,MI,Mobile invertivore,SECONDARY,Kulbicki Sargocentron mean
SAPU,Sargocentron punctatissimum,Sargocentron punctatissimum,NA,Species,Sargocentron,Holocentridae,Speckled Squirrelfish,Soldierfish,Soldierfish,NA,13,0.0219,3.047,0.93,FL,NA,0.93,MI,Mobile invertivore,SECONDARY,Kulbicki Sargocentron mean
SAPP,Sargocentron sp.,Sargocentron sp,NA,Genus,Sargocentron,Holocentridae,Sargocentron sp.,Soldierfish,Soldierfish,NA,50,0.02192,3.04739,0.93,FL,0.91,0.93,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
SASP,Sargocentron spiniferum,Sargocentron spiniferum,NA,Species,Sargocentron,Holocentridae,Sabre Squirrelfish,Soldierfish,Soldierfish,NA,52,0.01541,3.11881,0.93,FL,0.95,0.93,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
SATI,Sargocentron tiere,Sargocentron tiere,NA,Species,Sargocentron,Holocentridae,Blue Lined Squirrelfish,Soldierfish,Soldierfish,NA,33,0.0234,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
SAVI,Sargocentron violaceum,Sargocentron violaceum,NA,Species,Sargocentron,Holocentridae,Violet Squirrelfish,Snapper,Soldierfish,NA,45,0.0154,3.119,0.914,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for Apogon angustatus
SAXA,Sargocentron xantherythrum,Sargocentron xantherythrum,NA,Species,Sargocentron,Holocentridae,Hawaiian Squirrelfish,Soldierfish,Soldierfish,NA,17,0.0219,3.047,0.93,FL,NA,0.93,MI,Mobile invertivore,SECONDARY,Kulbicki Sargocentron mean
SAFL,Saurida flamma,Saurida flamma,NA,Species,Saurida,Synodontidae,Orangemouth Lizardfish,Rare_Families,Lizardfishes,Y,30.5,0.008,3.059,0.94,FL,NA,0.94,Pisc,Piscivore,PISCIVORE,Kulbicki Saurida mean
SAGR,Saurida gracilis,Saurida gracilis,NA,Species,Saurida,Synodontidae,Gracile Lizardfish,Rare_Families,Lizardfishes,Y,23,0.00657,3.16493,0.94,FL,NA,0.94,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
PARR,Scaridae,Scaridae,NA,Family,Scaridae,Scaridae,Scaridae,Parrotfish,Parrotfish,NA,68,0.02337,2.95646,0.97,FL,0.94,0.97,H,Herbivore,PRIMARY,Kulbicki 2005
SCAL,Scarus altipinnis,Scarus altipinnis,NA,Species,Scarus,Scaridae,Filament-Finned Parrotfish,Parrotfish,Parrotfish,NA,60,0.0184,3.02932,0.98,FL,0.97,0.98,H,Herbivore,PRIMARY,Kulbicki 2005
SCCL,Scarus chameleon,Scarus chameleon,NA,Species,Scarus,Scaridae,Chameleon Parrotfish,Parrotfish,Parrotfish,NA,31,0.02337,2.95646,0.929,FL,NA,0.97,H,Herbivore,PRIMARY,Kulbicki Scaridae mean
SCDM,Scarus dimidiatus,Scarus dimidiatus,NA,Species,Scarus,Scaridae,Yellowbarred Parrotfish,Parrotfish,Parrotfish,NA,50,0.02337,2.956,1,FL,NA,1,H,Herbivore,PRIMARY,LW from Kulbicki (Family level)
SCDU,Scarus dubius,Scarus dubius,NA,Species,Scarus,Scaridae,Regal Parrot,Parrotfish,Parrotfish,NA,38,0.0222,2.971,0.97,FL,0.9,0.97,H,Herbivore,PRIMARY,Kulbicki Scaridae mean
SCFE,Scarus festivus,Scarus festivus,NA,Species,Scarus,Scaridae,Festive Parrotfish,Parrotfish,Parrotfish,NA,45,0.0222,2.971,0.95,FL,0.9,0.95,H,Herbivore,PRIMARY,Kulbicki Scaridae mean
SCFL,Scarus flavipectoralis,Scarus flavipectoralis,NA,Species,Scarus,Scaridae,Yellowfin Parrotfish,Parrotfish,Parrotfish,NA,40,0.0222,2.971,0.96,FL,0.95,0.96,H,Herbivore,PRIMARY,Kulbicki Scaridae mean
SCFO,Scarus forsteni,Scarus forsteni,NA,Species,Scarus,Scaridae,Forsten's Parrotfish,Parrotfish,Parrotfish,NA,55,0.01859,3.0455,1,TL,1,NA,H,Herbivore,PRIMARY,FB mean for genus
SCFR,Scarus frenatus,Scarus frenatus,NA,Species,Scarus,Scaridae,Bridled Parrotfish,Parrotfish,Parrotfish,NA,47,0.03203348,3.06,0.88,TL,0.88,NA,H,Herbivore,PRIMARY,FB
SCFU,Scarus fuscocaudalis,Scarus fuscocaudalis,NA,Species,Scarus,Scaridae,Darktail Parrotfish,Parrotfish,Parrotfish,NA,25,0.0222,2.971,0.97,FL,NA,0.97,H,Herbivore,PRIMARY,Kulbicki Scaridae mean
SCGH,Scarus ghobban,Scarus ghobban,NA,Species,Scarus,Scaridae,Blue-Barred Parrotfish,Parrotfish,Parrotfish,NA,90,0.0165,3.04116,0.97,FL,NA,0.97,H,Herbivore,PRIMARY,Kulbicki 2005
SCGL,Scarus globiceps,Scarus globiceps,NA,Species,Scarus,Scaridae,Globehead Parrotfish,Parrotfish,Parrotfish,NA,31,0.0155,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
SCNI,Scarus niger,Scarus niger,NA,Species,Scarus,Scaridae,Dusky Parrotfish,Parrotfish,Parrotfish,NA,43,0.01335,3.15996,0.98,FL,NA,0.98,H,Herbivore,PRIMARY,Kulbicki 2005
SCOV,Scarus oviceps,Scarus oviceps,NA,Species,Scarus,Scaridae,Dark Capped Parrotfish,Parrotfish,Parrotfish,NA,38,0.018,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
SCPR,Scarus prasiognathos,Scarus prasiognathos,NA,Species,Scarus,Scaridae,Singapore Parrotfish,Parrotfish,Parrotfish,NA,70,0.0184,3.029,0.967,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for SCAL
SCPS,Scarus psittacus,Scarus psittacus,NA,Species,Scarus,Scaridae,Common Parrotfish,Parrotfish,Parrotfish,NA,33,0.01045,3.31871,0.97,FL,0.94,0.97,H,Herbivore,PRIMARY,Kulbicki 2005
SCQU,Scarus quoyi,Scarus quoyi,NA,Species,Scarus,Scaridae,Quoy's Parrotfish,Parrotfish,Parrotfish,NA,40,0.0184,3.058,1,TL,NA,NA,H,Herbivore,PRIMARY,FB for Scarus rivulatus
SCRI,Scarus rivulatus,Scarus rivulatus,NA,Species,Scarus,Scaridae,Surf Parrotfish,Parrotfish,Parrotfish,NA,42,0.0175,3.074,1,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki 2005
SCRU,Scarus rubroviolaceus,Scarus rubroviolaceus,NA,Species,Scarus,Scaridae,Ember Parrotfish,Parrotfish,Parrotfish,NA,70,0.0136,3.109,1,TL,1,NA,H,Herbivore,PRIMARY,FB
SCSC,Scarus schlegeli,Scarus schlegeli,NA,Species,Scarus,Scaridae,Yellowband Parrotfish,Parrotfish,Parrotfish,NA,38,0.02306,2.96919,0.98,FL,NA,0.98,H,Herbivore,PRIMARY,Kulbicki 2005
SCSP,Scarus sp.,Scarus sp,NA,Genus,Scarus,Scaridae,Scarus sp.,Parrotfish,Parrotfish,NA,130,0.02337,2.95646,0.97,FL,NA,0.97,H,Herbivore,PRIMARY,Kulbicki 2005
SCSI,Scarus spinus,Scarus spinus,NA,Species,Scarus,Scaridae,Greensnout Parrotfish,Parrotfish,Parrotfish,NA,31,0.01859,3.0455,1,TL,1,NA,H,Herbivore,PRIMARY,FB mean for genus
SCTR,Scarus tricolor,Scarus tricolor,NA,Species,Scarus,Scaridae,Tricolour Parrotfish,Parrotfish,Parrotfish,NA,55,0.01859,3.0455,1,TL,1,NA,H,Herbivore,PRIMARY,FB mean for genus
SCXA,Scarus xanthopleura,Scarus xanthopleura,NA,Species,Scarus,Scaridae,Red Parrotfish,Parrotfish,Parrotfish,NA,55,0.0188,3.026,0.94,FL,NA,0.94,H,Herbivore,PRIMARY,FB Used Fishbase parameters from S. altipinnis
SCAF,Scolopsis affinis,Scolopsis affinis,NA,Species,Scolopsis,Nemipteridae,Peters' Monocle Bream,Rare_Families,Threadfin,NA,24,0.0106,3.073,1,TL,NA,NA,Om,Omnivore,SECONDARY,FB for Pentapodus setosus
SCAU,Scolopsis auratus,Scolopsis auratus,NA,Species,Scolopsis,Nemipteridae,Yellowstripe Monocle Bream,Rare_Families,Threadfin,NA,30,0.0106,3.073,1,TL,NA,NA,Om,Omnivore,SECONDARY,FB for Pentapodus setosus
SCBI,Scolopsis bilineatus,Scolopsis bilineatus,NA,Species,Scolopsis,Nemipteridae,Bridled Bream,Rare_Families,Threadfin,NA,20,0.0138,3.174,0.95,FL,0.796,NA,Om,Omnivore,SECONDARY,Kulbicki 2005
SCCI,Scolopsis ciliatus,Scolopsis ciliatus,NA,Species,Scolopsis,Nemipteridae,Saw-Jawed Monocle Bream,Rare_Families,Threadfin,NA,19,0.0641,2.48,0.95,FL,0.814,NA,Om,Omnivore,SECONDARY,FB
SCLI,Scolopsis lineata,Scolopsis lineata,NA,Species,Scolopsis,Nemipteridae,Striped Monocle Bream,Rare_Families,Threadfin,NA,20,0.0205,2.984,1,?,NA,NA,Om,Omnivore,SECONDARY,Generic LW data from FishBase
SCMA,Scolopsis margaritifer,Scolopsis margaritifer,NA,Species,Scolopsis,Nemipteridae,Pearly Monocle Bream ,Rare_Families,Threadfin,NA,28,0.0106,3.073,1,TL,NA,NA,Om,Omnivore,SECONDARY,FB for Pentapodus setosus
SCMO,Scolopsis monogramma,Scolopsis monogramma,NA,Species,Scolopsis,Nemipteridae,Monogrammed Monocle Bream,Rare_Families,Threadfin,NA,31,0.0106,3.073,1,TL,NA,NA,Om,Omnivore,SECONDARY,FB for Pentapodus setosus
BREA,Scolopsis sp.,Scolopsis sp,NA,Genus,Scolopsis,Nemipteridae,Bream sp.,Rare_Families,Threadfin,NA,25,0.0147,3.054,0.95,FL,NA,NA,Om,Omnivore,SECONDARY,Kulbicki 2005
SCTL,Scolopsis trilineatus,Scolopsis trilineatus,NA,Species,Scolopsis,Nemipteridae,Three-Lined Monocle Bream,Rare_Families,Threadfin,NA,20,0.0106,3.073,1,TL,NA,NA,Om,Omnivore,SECONDARY,FB for Pentapodus setosus
SCVO,Scolopsis vosmeri,Scolopsis vosmeri,NA,Species,Scolopsis,Nemipteridae,Whitecheek Monocle Bream,Rare_Families,Threadfin,NA,25,0.0194,3,1,TL,NA,NA,Om,Omnivore,SECONDARY,FB
SCXE,Scolopsis xenochrous,Scolopsis xenochrous,NA,Species,Scolopsis,Nemipteridae,Oblique-Barred Monocle Bream,Rare_Families,Threadfin,NA,21,0.0106,3.073,1,TL,NA,NA,Om,Omnivore,SECONDARY,FB for Pentapodus setosus
SCLY,Scomberoides lysan,Scomberoides lysan,NA,Species,Scomberoides,Carangidae,Doublespotted Queenfish,Jack,Jack,NA,70,0.01085,2.92302,0.88,FL,0.83,0.88,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
